Nº PEDIDO,MOTIVO EXPRÉS,MOTIVO,CANAL,FOTO,ESTADO,RESPONSABLE,Fecha incidencia,SOLUCION,Fecha resolución
,,,,,Not started,,,,
,,,,,Not started,,,,
,,,,,Not started,,,,
#50357,,"prenda comprada en noviembre, le llega bastante grande. se intenta comunicar bastantes veces con nosotros tuvo respuesta cuando ya termino el plazo de cambios. ",INSTAGRAM,,DETECTADO,dunia sanchis rodriguez,02/22/2025,,
#52827,,PAQUETE PERDIDO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,LE REEMBOLSAMOS EL PEDIDO Y SOLICITAMOS LA FACTURA POR PERDIDA A CORREOS EXPRÉS,
#60683,,PRENDA ENTREGADA A GORCA Y NO VOLVIO A LA NAVE,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,HAY QUE RECLAMAR A GORCA LA PRENDA YA QUE NO LLEGO A MAILING,
#63157,,"le cancelamos pedido por falta de stock, viene a quejarse a tienda porque se le cancela el pedido por falta de stock. ha ido a consumo a informarse. quiere que se le mantenga el precio del pedido que hizo. +34 649 96 10 51",MAIL,,SOLUCIONADO,dunia sanchis rodriguez,02/22/2025,preguntar el lunes a ferrete,
#64352,,"PAQUETE NO PREPARADO, FALTA STOCK",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,PREGUNTO SI HAY STOCK EN TIENDA SI NO DEVOLVEMOS EL DINERO,
#65046,,hace dos pedidos “sin querer” y hay q hacer devo del 2x1,,,SOLUCIONADO,dunia sanchis rodriguez,02/22/2025,,
#66542,,pedido no preparado por falta de stock,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,,
#64038,,pedido no llega,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,,
#64510,,,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,,
#61038,,"PEDIDO DE ENERO NO LLEGA TODAVIA, PREGUNTO A LUIS ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,,
#64006,,PEDIDO NO LE LLEGA,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,RECLAMO A MAILING,
#66542,,"PEDIDO SIN STOCK EN AMBAS PRENDAS, LLAMAR AL CLIENTE PARA CAMBIARSELO POR OTRAS",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,,,
"#63415 ",,"PEDIDO DEL 29 DE ENERO, TODAVIA NO SE HA ENVIADO, PREGUNTO A MAILIING EL ESTADO DEL PDDO, PERO NO LO SABEN. EN EL EXCEL NO REFLEJA NINGUN BORDADOR",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/05/2025,,
#50868,,"PEDIDO DE DICIEMBRE, LE LLEGA EL POLAR PONIENDO FUENTEVENTURA EN LUGAR DE FUERTEVENTURA. LO LLEVA EN ENERO CUANDO LE LLEGA A TIENDA PARA QUE SE LO ARREGLEN, SE LO LLEVA ERIK PERO NO HAY MAS NOTICIAS DEL FORRO. LLAMO A ERIK PARA SABER SI LO TIENE Y NO LO TIENE EL, EN TIENDA TAMPOCO ESTÁ ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,,
#50459,,"LE HA LLEGADO EL PEDIDO DEL CLIENTE 50469, pero su pedido no esta, se pregunta a luis si sabe donde se encuentra, llamar al cliente cuando luis responda",MAIL,,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,se envia recogida del pedido erroneo y se tramita de nuevo su pedido,
#50469,,"PAQUETE MANDADO AL CLIENTE 50459, ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,recogen el pddo al cliente 50459 para enviarselo a su destinatario,
#56768,,paquete no entregado,INBOX,,EN CURSO,dunia sanchis rodriguez,02/24/2025,pregunto a mailing,
#58896,,PRENDA MAL BORDADA,INBOX,INCIDENCIAS/image.jpg,SOLUCIONADO,dunia sanchis rodriguez,02/21/2025,MANDADA LA RECOGIDA A MAILING PARA EL DIA 03/03/2025,
#63801,,"pedido no le llega, tiene num de seguimiento, ver si se ha devuelto",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/20/2025,,
#64834,,le llega una prenda con iniciales cuando no deberia llevarla,INBOX,INCIDENCIAS/image%201.jpg,SOLUCIONADO,dunia sanchis rodriguez,02/20/2025,mirar si hay xl clasico burdeos en tienda si no mirar en almacen,
#64002,,PRENDA DEFECTUOSA,INBOX,INCIDENCIAS/1000071227.jpg,SOLUCIONADO,dunia sanchis rodriguez,02/19/2025,SE LO DAMOS A JAESER PARA QUE LO ARREGLE EL BORDADO,
#66089,,le llegan dos forros erroneos,INBOX,"INCIDENCIAS/1740398298376785459242926132895.jpg, INCIDENCIAS/17403983244433687525322815222238.jpg",SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,enviado a mailing,
#66199,,"FALTA STOCK DEL FORRO BURDEOS, CUANDO FERRETE VUELQUE EL STOCK MIRARLO. LE CAMBIAMOS EL FORRO POLAR BURDEOS POR OTRO COLOR Y MAILING NOS DICE QUE HA HABIDO UN FALLO Y NO HAY STOCK DEL AZUL MARINO, LLAMO AL CLIENTE PARA COMENTARSELO PERO NO OBTENGO RESPUESTA, ENVIO MENSAJE",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,,,
#66582,,NO PREPARADO,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,"NO STOCK, LLAMAMOS AL CLIENTE",
#64299,,"LE LLEGA UNA PRENDA CON OTRA CIUDAD BORDADA, PIDE JAEN Y LE LLEGA JEREZ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/27/2025,PEDIDA LA RECOGIDA PARA QUE LO ARREGLE ERIC LA PRENDA,
#63230,,"PEDIDO PREPARADO PERO NO ENVIADO DESDE FINALES DE ENERO, PREGUNTO A MAILING",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/27/2025,LO ACABAN DE ENTREGAR EN MAILING,
#64088,,TIENE QUE ENTREGAR UNA PRENDA,TIENDA,,SOLUCIONADO,dunia sanchis rodriguez,02/27/2025,TIENE QUE ENTREGAR EL POLAR NEGRO EN TIENDA,
#65444,,"CLIENTE RECIBE EL PEDIDO CON UNA PRENDA INCORRECTA, PEDIMOS A MAILING ENVIAR LA PRENDA CORRECTA Y EL RETORNO DE LA OTRA",INBOX,"INCIDENCIAS/Forro_1_Esenzia.jpg, INCIDENCIAS/Forro_2_esenzia.jpg",SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,,
#64680,,"LE LLEGA UNA DE LAS DOS PRENDAS MAL, PEDIMOS A MAILING EL ENVIO DE LA CORRECTA",INBOX,"INCIDENCIAS/deea8c66-d03c-42bb-ba92-7e599ae2911b.jpeg, INCIDENCIAS/1e09e4db-70c3-4f4c-a64c-d265ab07129a.jpeg, INCIDENCIAS/1a86dc0a-8e24-458e-bb89-cf7b381ecdc3.jpeg",SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,,
#65066,,"AL CLIENTE LE LLEGA UNA DE LAS DOS PRENDAS MAL, MANDAMOS BORDAR LA PRENDA CORRECTA Y EL ENVIO CON RETORNO DE LA INCORRECTA",INBOX,"INCIDENCIAS/IMG_5959.jpeg, INCIDENCIAS/IMG_5958.jpeg, INCIDENCIAS/IMG_5954.jpeg",SOLUCIONADO,dunia sanchis rodriguez,03/05/2025,,
#64957,,"RECIBE UNA PRENDA MAL, LE ENVIAMOS LA CORRECTA JUNTO AL RETORNO DE LA ERRONEA",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/04/2025,MAILING MANDA LA PRENDA A BORDAR,
#64344,,"CRUCE DE PEDIDOS CON #64334, #64344 TIENE NUMERO DE SEGUIMIENTO PERO NO AVANZA, PREGUNTADO SU ESTADO A LUIS, #64334 YA TIENE EL PEDIDO, CUANDO SE SEPA EL ESTADO DE LOS DOS HACER LOS ENVIOS PERTINENTES // AL CLIENTE SOLO LE LLEGA UNO DE LOS DOS FORROS BLANCO ROTO",INBOX,INCIDENCIAS/image%202.jpg,SOLUCIONADO,dunia sanchis rodriguez,03/04/2025,SE HA MANDADO LA RECOGIDA Y SE LE HA HECHO EL CRUCE,
#65347,,"CRUCE DE PEDIDOS CON #65374, HACEMOS EL ENVIO PERTINENTE DE LOS DOS PAQUETES A SUS RESPECTIVOS DUEÑOS",LLAMADA,,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,SE MANDA ETIQUETA DE RECOGIDA A AMBOS PEDIDOS,
#65374,,"CRUCE DE PEDIDOS CON #65347, NOTIFICAMOS A LUIS Y HACEMOS LAS RECOGIDAS Y ENVIOS PERTINENTES",LLAMADA,,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,SE MANDA ETIQUETA DE RECOGIDA A AMBOS PEDIDOS,
#64759,,LE LLEGA UNA DE LAS DOS PRENDAS MAL. INFORMADO A MAILING PARA HACER ENVIO DE LA NUEVA,INBOX,INCIDENCIAS/IMG_0212.jpeg,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,,
#50801,,"LE LLEGA UNA PRENDA EN MALAS CONDICIONES. NOTIFICAMOS A MAILING RECOGIDA Y QUE LO REIVSE JEASER PARA ENVIAR DE NUEVO LA PRENDA ",TIENDA,INCIDENCIAS/Imagen_de_WhatsApp_2025-03-06_a_las_17.45.05_e22fc296.jpg,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,,
#50413,PEDIDO PERDIDO,"PEDIDO ENTREGADO PERO NO LO TIENE LA CLIENTA, PEDIMOS JUSTIFICANTE DE ENTREGA DEL PEDIDO A LUIS, LUIS NOS ENVIA ESTA IMAGEN COMO JUSTIFICANTE DE ENTREGA. TENEMOS QUE HABLAR CON LA CLIENTA// ENVIAMOS UNA DE LAS PRENDAS DE TIENDA A ERIK PARA QUE LE BORDE LAS INICIALES Y LO RECOJA EN TIENDA LA CLIENTA // ENVIAMOS LA PRENDA DE TIENDA A ERIK PARA Q BORDE LAS INICIALES EN EL PIÑO",INBOX,INCIDENCIAS/Captura_de_pantalla_2025-03-11_125057.png,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,,
"#58900 ",,LE LLEGA LA PRENDA CON EL BORDADO EN MALAS CONDICIONES,LLAMADA,INCIDENCIAS/Video_de_WhatsApp_2025-03-09_a_las_22.33.19_184f20b3.mp4,SOLUCIONADO,dunia sanchis rodriguez,03/10/2025,"PEDIMOS RECOGIDA A LUIS ",
#56205,PEDIDO PERDIDO,"PAQUETE PERDIDO     PEDIDO DEL 31 DE DICIEMBRE, NO LE HA LLEGADO TODAVIA.  RECLAMO",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/10/2025,,
#65966,,"ESTA CLIENTA LLAMA BASTANTE ENFADADA POR LA TARDANZA DEL PEDIDO. RECLAMO EL PEDIDO. ",LLAMADA,,SOLUCIONADO,dunia sanchis rodriguez,03/10/2025,,
#65490,,"NO LE HA LLEGADO LA CAMISETA DEL PEDIDO, RECLAMADO A MAILING, EN ESPERA QUE ADRIAN ENVIE LA FACTURA",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/11/2025,,
#61009,PEDIDO PERDIDO,"PEDIDO NO LE HA LLEGADO AL CLIENTE. RECLAMADO A LUIS BASTANTES VECES. LLAMO A LA CLIENTA PARA OFRECERLE OTRA PRENDA Y ENVIARSELA ",LLAMADA,,SOLUCIONADO,dunia sanchis rodriguez,03/11/2025,"MANDAMOS OTRA PRENDA A BORDAR ",02/04/2025
#65275,,"CRUCE DE PEDIDOS CON #66275, INFORMAMOS A MAILING Y PEDIMOS RECOGIDA DE AMBOS. ENVIADA LA ETIQUETA DE RECOGIDA",LLAMADA,,SOLUCIONADO,dunia sanchis rodriguez,03/12/2025,,
